name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
Rana Ramdev Medicals - A Unit of Rana Ramdev Medico PVT. LTD,"Godrej Air Nxt, near Hoodi, Seetharampalya, Hoodi, Bengaluru, Karnataka 560048",apollopharmacy.in,011 3083 7575,12.9873858,77.6756657,pharmacy,,
Aster Pharmacy - Munnekollal,"No. 1235 Max sunflower HOPE FARM, Channasandra Main Rd, opp. Sainidhi HOTEL, Whitefield, Bengaluru, Karnataka 560066",business.site,077604 11703,12.9838415,77.7180495,pharmacy,,
Sai Tulase Medicals,"Site No-38, Survey No: 116/1B, Munnekolalu, Marathahalli Village, Bengaluru, Karnataka 560037",munnekollal.asterpharmacy.in,080 4804 7350,12.9487221,77.6678509,pharmacy,,
Manish Medicals,"sai tulase medicals, zp complex, Immadihalli Main Rd, Meersab Compound, Whitefield, Bengaluru, Karnataka 66",,,12.9696312,77.7147243,pharmacy,,
gaytri medical and general store,"3&4, Borewell Rd, opposite to Sowparnika bakery & Sweets, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",,098445 04661,12.9696312,77.7147243,pharmacy,,
Apollo Pharmacy Marathahalli,"XP9P+QV7, Narayanappa badavane, Borewell Rd, nallerahalli, Whitefield, Bengaluru, Karnataka 560066",,,12.9696312,77.7147243,pharmacy,,
Apollo pharmacy Varthur Main Rd,"Shop No 01, 1st Cross Rd, AECS Layout, Marathahalli, Bengaluru, Karnataka 560037",apollopharmacy.in,080 2296 0459,12.9610849,77.6806179,pharmacy,,
Aster Pharmacy - Marathahalli,"SH 35, Devasthanagalu, Varthur, Bengaluru, Karnataka 560087",apollopharmacy.in,080 2520 4919,12.934854,77.7073379,pharmacy,,
Apollo Pharmacy Basavanagar Hoodi Bangalore,"No 45/2b, 370, Tulsi Theater Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037",asterpharmacy.in,080999 37188,12.9564339,77.6620931,pharmacy,,
Apollo Pharmacy Gandhi Nagar,"Ground floor, near Gopalan Internation School, Basavannagar, Hoodi, Bengaluru, Karnataka 560048",apollopharmacy.in,1860 500 0101,12.9895552,77.6766082,pharmacy,,
MedPlus Rajpalya Road Hoodi,"No XP34/2F4, Munnekollal Main Rd, Rajasree Layout, Gandhi Nagar, Munnekollal, Bengaluru, Karnataka 560037",apollopharmacy.in,080 2295 7408,12.9516778,77.6708809,pharmacy,,
Apollo Pharmacy Doddanekkundi Bangalore,"01, Survey No 164, Basi Reddy Building R Savanngar, opposite Gopalan International School, Bengaluru, Karnataka 560048",medplusmart.com,040 6700 6700,12.9853839,77.6824978,pharmacy,,
Apollo Pharmacy Ayyappa Nagar,"Khatha/Survey no.335-310, Ward no.85, Pragathi Layout, Doddanekundi, Bengaluru, Karnataka 560037",apollopharmacy.in,063648 53506,12.9736102,77.6576276,pharmacy,,
Apollo Pharmacy Balagere Road Varthur,"No 2/2, Ground Floor, Devasandra Main Rd, opposite Bank Of Baroda ATM, Ayyappa Nagar, Krishnarajapura, Bengaluru, Karnataka 560036",apollopharmacy.in,080 2561 6020,13.0030547,77.6760086,pharmacy,,
Sri Vinayaka Medicals,"Balagere Rd, opp. Paramount Layout, Devasthanagalu, Varthur, Bengaluru, Karnataka 560087",apollopharmacy.in,080 2520 4941,12.9395038,77.6998792,pharmacy,,
Apollo Pharmacy Mahadevapura,"No 4, #4/4, Immadihalli Main Rd, opp. Sri Rama Temple, Hagadur, Immadihalli, Whitefield, Bengaluru, Karnataka 560066",business.site,,12.9684402,77.7203058,pharmacy,,
Netmeds Pharmacy,"41, Maheshwaramma Temple Rd, Maheswari Nagar, Mahadevapura, Bengaluru, Karnataka 560048",apollopharmacy.in,076249 58226,12.9917092,77.6546126,pharmacy,,
EasyMeds,"SMART Point, No 552, Gf, Smart Point C Block Aecs Layout Brooke Field, Marathahalli, Bengaluru, Karnataka 560037",netmeds.com,,12.9633827,77.6727066,pharmacy,,
Aster Pharmacy - T C Palya,"Ground Floor Shop No 1 Site 91, near Central Park, Prasanth Layout, Prasanth Extension, Whitefield, Bengaluru, Karnataka 560066",,089014 58560,12.983662,77.7130345,pharmacy,,
Aster Pharmacy - Seegehalli,"Site 157, K.H. No-283, Old Nos. 8 & 9, 1, Main Road, Manjunatha Layout, Thambu Chetty Palya, Krishnarajapura, Bengaluru, Karnataka 560036",tcpalaya.asterpharmacy.in,080 3542 6764,13.0231495,77.6596072,pharmacy,,
Apollo Pharmacy Munnekollal,"No:14, Seegehalli, KR Puram, Hobli, Taluk, Bengaluru, Karnataka 560049",seegehalli.asterpharmacy.in,080 3542 6803,13.0172648,77.6839512,pharmacy,,
Medmas Pharmacy,"No 44, Ground Floor, near Sai Baba Temple Road, Green Garden Layout, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560066",apollopharmacy.in,080 4202 4229,12.9528337,77.6800297,pharmacy,,
