name,address,website,phone_number,latitude,longitude,category,reviews_count,reviews_average
"FabExpress Mayuri Residency - Hotel in Marathahalli, Bangalore","XQX6+CCG, Kadugodi, Bengaluru, Karnataka 560067",,,12.9599186,77.5728015,hotel,,
Hotel Abooz,"Shree Ganapa Towers, 223-95, Marathahalli Main Rd, Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037",fabhotels.com,070424 24242,12.9599186,77.5728015,hotel,,
SPOT ON Hotel Mukunda Nilaya Near Nexus Whitefield (the Forum Neighbourhood Mall),"107, Balaji Nidhi Building, near ITPL Back Gate, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,089519 92552,12.9599186,77.5728015,hotel,,
Ivory studios,"226, Channasandra, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
Vennela Hotel Apartments,"ECC Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",,,12.9599186,77.5728015,hotel,,
OYO 5345 Hotel Sai Rennaissance,"116/1, 2nd Main Rd, Maithri Layout, Kadugodi, Bengaluru, Karnataka 560067",vennelahotel.com,081270 70470,12.9599186,77.5728015,hotel,,
The Altruist Business Hotel Whitefield,"Railway Station, opposite SBI Whitefield, Sai Colony, Kadugodi, Bengaluru, Karnataka 560067",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
Hello Inn Hotel,"1528, Channasandra Main Rd, beside Global School, Vijayanagara, Whitefield, Bengaluru, Karnataka 560067",thealtruistindia.com,080 6111 2222,12.9599186,77.5728015,hotel,,
Capital O 5991 Chris Hotel,"624, 1st Main, 2nd Cross Rd, AECS Layout - C Block, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",helloinnhotels.com,089517 43031,12.9599186,77.5728015,hotel,,
De Venetian by TGI,"Plot No. 120,Near Santosh Towers, EPIP Zone Whitefield Rd, Whitefield, Bengaluru, Karnataka 560066",oyorooms.com,0124 433 0591,12.9599186,77.5728015,hotel,,
Hotel Sai Lotus,"No. 605, AESS Layout, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",tgihotels.com,080 4974 6635,12.9599186,77.5728015,hotel,,
Zip By Spree Hotels Purple Orchid,"Hotel Sai Lotus, Behind KFC & Domino's, Sai Colony, 560067, Belathur, Kadugodi, Bengaluru, Karnataka 560067",,,12.9599186,77.5728015,hotel,,
Hotel Dwaraka Grand,"65, 1st Main Rd, Main, off Channasandra, Hopeform Junction, Maithri Layout, Kadugodi, Bengaluru, Karnataka 560067",spreehotels.com,097407 82942,12.9599186,77.5728015,hotel,,
"FabHotel Phoenix Brookfield - Hotel in Brookefield, Bangalore","No. 55, Sri Manjunath Arcade, Govinayakanahalli, Kumarswamy Layout, Bengaluru, Karnataka 560078",,089709 68999,12.9599186,77.5728015,hotel,,
The Pride Hotel Bangalore,"Plot No 681, 12th Cross Road, 4th Main Rd, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",fabhotels.com,070424 24242,12.9599186,77.5728015,hotel,,
Pride Biznotel WhiteField,"93, Richmond Rd, Langford Gardens, Bengaluru, Karnataka 560025",pridehotel.com,1800 209 1400,12.9649637,77.4552267,hotel,,
ROYAL STAR HOTEL,"Siddhapura Main Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066",pridehotel.com,080 2322 2999,12.9688797,77.5912622,hotel,,
Hotel Balinova,"27/428# 14th cross Road, 13th Main Rd, Lakkasandra, Bengaluru, Karnataka 560030",,,12.94436,77.4532985,hotel,,
Hotel Foxglove International,"50, Sai Baba Temple Rd, Green Garden Layout, Silver Springs Layout, Munnekollal, Bengaluru, Karnataka 560037",hotelbalinova.com,072590 01234,12.9508167,77.5715076,hotel,,
Hotel Embassy,"Hope Farm Circle, Channasandra Main Rd, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka 560066",foxgloveinternational.in,080 2845 2845,12.9508167,77.5715076,hotel,,
Trinity Suites - Budget Hotel Bangalore near MG Road,"# 2/1, Anathashram lane, Subedar Chatram Rd, Gandhinagar, Majestic, Bengaluru, Karnataka 560009",,070224 08694,12.9783665,77.4317483,hotel,,
"The Zuri Whitefield, Bengaluru","1/3, Artillery Rd, Halasuru, Cambridge Layout, Bengaluru, Karnataka 560008",trinitysuites.in,080 4164 6100,12.9783665,77.4317483,hotel,,
Happy Stays - Whitefield,"1/3, Artillery Rd, Halasuru, Cambridge Layout, Bengaluru, Karnataka 560008",trinitysuites.in,080 4164 6100,12.9783665,77.4317483,hotel,,
Hotel City Centaur (Hotel and convention Center),"The Zuri The Zuri Hotel Building, 244, Hoody Village, 244, Whitefield Main Rd, Maruthi Nagar, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560048",thezurihotels.com,080666 57272,12.9901636,77.5791577,hotel,,
Babu Hotel & Rooms,"Landmark:, Shantala Silk House Circle, 74-79, G.T Road, Off KSR Railway Station, Opposite to KSRTC Bus Terminal Opposite Kempegowda Metro Station, Majestic Metro Station Shantala Silk House Circle Majestic, Gandhi Nagar, Bengaluru, Karnataka 560023",citycentaur.com,080 2670 9118,12.9750696,77.4262572,hotel,,
Bangalore Gate Hotel & Conferences,"Kadugodi, Bengaluru, Karnataka 560067",,,12.9989536,77.6163649,hotel,,
Golden Residency,"9 & 12, Gajanana Towers , Kempe Gowda Road Opposite Menaka Theater, near Mysore Bank Circle, Bengaluru, Karnataka 560009",hotelbangaloregate.com,080 2220 0111,12.9736482,77.4349981,hotel,,
Astra Hotels - Marathahalli (Spice Garden) | Marathalli Hotel Rooms,"28, 4th Cross, 28, 2nd Main Rd, opp. Hotel Kanishka, Gandhi Nagar, Bengaluru, Karnataka 560009",,080 4147 6434,12.9736482,77.4349981,hotel,,
